"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"QXV385CF","journalArticle","2023","Benaddi, F.Z.; Boukhattem, L.; Ait Nouh, F.; Cesar Tabares-Velasco, P.; Benhamou, B.","Energy-saving potential assessment of a classroom building envelope through sensitivity analysis and multi-objective optimization under different climate types","Building Services Engineering Research and Technology","","","10.1177/01436244231161944","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150714529&doi=10.1177%2f01436244231161944&partnerID=40&md5=98ff8e2a3f08dc4453624a2601dbb04a","The present work aims to optimize the thermal behavior of a building envelope by combining sensitivity analysis (SA) and multi-objective optimization (MOO). An existing classroom located in Marrakech city was considered a case study building. The building model was analyzed under six Moroccan climate zones. The SA was applied on 16 design variables and performed using the Morris method implemented in the tool Simlab to rank each design variable based on its influence on the objective function (overall energy demand). The SA results showed that the solar absorptance of the internal roof, wall, and ground floor and the ground hollow core slab thickness impacted less the overall energy demand. Therefore, the only remaining variables showing the most relevant effect will be optimized afterward. The optimization phase was conducted by coupling the generic optimization tool GenOpt with TRNSYS. The optimum solution was selected based on the Pareto front approach. The obtained results assessed the effectiveness of the adopted methodological approach in significant minimization of the required thermal loads. Furthermore, the values of each optimum design variables set differ from one climate zone to another; leading to energy demand reduction varying from 30 to 42%, in comparison with the original design building. © The Author(s) 2023.","2023","2024-02-20 10:05:27","2024-02-20 10:36:03","","309-332","","3","44","","","","","","","","","","","","","Scopus","","","","","<p>Compilation and indexing terms, Copyright 2024 Elsevier Inc.</p>; <p>Export Date: 20 February 2024; Cited By: 2</p>","","http://dx.doi.org/10.1177/01436244231161944","Architectural design; Floors; Structural design; Energy management; Multi-objective optimization; Sensitivity analysis; Multiobjective optimization; Design variables; Energy conservation; Solar buildings; Building envelopes; Multi-objectives optimization; Climate models; sensitivity analysis; Energy demands; Thermal load; Energy savings potential; Thermal behaviours; classroom building envelope; Classroom building envelope; Energy  savings; energy saving; Energy-savings; Moroccan climate zone; moroccan climate zones; thermal loads","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NLJ29FL6","journalArticle","2023","Cai, W.; Wen, X.; Li, C.; Shao, J.; Xu, J.","Predicting the energy consumption in buildings using the optimized support vector regression model","Energy","","","10.1016/j.energy.2023.127188","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149898476&doi=10.1016%2fj.energy.2023.127188&partnerID=40&md5=b7c1feb90e53ab746d4da2d9d3a355b9","One of the most significant axes of regional, national, and worldwide energy policy is energy efficiency in building design. In particular, the energy efficiency of HVAC systems is of paramount importance. They provide energy for both residential and commercial sectors. As a result, assessing building energy usage is a critical step in optimizing building energy consumption. The impact of eight input factors on the two output variables, heating and cooling loads, for residential structures was explored in this study. For this purpose, the SVR-supervised machine learning algorithm was used. Despite its advantages, such as predictive accuracy and robustness, this method suffers from the fact that there is no specific rule for fitting its parameters. Therefore, six meta-heuristic optimization algorithms were investigated, and the strongest algorithm for optimal parameter fitting for the SVR model was presented. The correlation and error parameters analysis showed that the hybrid model SVR-AEO has the best performance in simulating residential buildings' heating and cooling loads. According to the obtained results, the value of R2 for the cooling and heating loads prediction in the training data is obtained to be 0.9975 and 0.99955, respectively. © 2023 Elsevier Ltd","2023","2024-02-20 10:05:27","2024-02-20 10:40:46","","","","","273","","","","","","","","","","","","","Scopus","","","","","<p>Compilation and indexing terms, Copyright 2024 Elsevier Inc.</p>; <p>Export Date: 20 February 2024; Cited By: 9</p>","","http://dx.doi.org/10.1016/j.energy.2023.127188","Architectural design; optimization; Structural design; Optimization; algorithm; Energy efficiency; machine learning; Forecasting; Support vector machines; regression analysis; Regression analysis; Energy utilization; Heuristic algorithms; Air conditioning; Building energy; Energy prediction; Support vector regression; Housing; Learning algorithms; cooling; energy efficiency; Cooling; support vector machine; Cooling load; Heating and cooling loads; Heating load; energy policy; Building energy prediction; Energy-consumption; Meta-heuristic algorithms; Meta-heuristics algorithms; Support vector machine; Support vector regressions; Support vectors machine; vector autoregression","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BLZ6QTGE","journalArticle","2023","Pothof, I.; Vreeken, D.; Meerkerk, M.V.","Data-driven method for optimized supply temperatures in residential buildings","Energy","","","10.1016/j.energy.2023.129183","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173147248&doi=10.1016%2fj.energy.2023.129183&partnerID=40&md5=b7b446eb7100efe35588c9cd8df2e75f","The energy required for space heating amounts to approximately 68% of the total energy demand of existing buildings in Europe. The heat requirement of a building, and thus its carbon emission, can be lowered by optimizing the supply and return temperature of the heating system. A lower supply temperature enables a wider variety of transition pathways towards sustainable heating with reduced carbon emissions. However, the minimum supply temperature that guarantees acceptable indoor temperatures in existing dwellings during design weather conditions is still unknown. In this study, we determine the minimum supply temperature by fitting a 2 R–2C model to hourly measurement data. The measurement data is obtained from a representative set of 220 existing gas-fired dwellings in the Netherlands. The heating system of each dwelling was equipped with a pulse flowmeter and temperature sensors on both the supply and return side. Additionally, data was collected from the thermostat in the main living room and the gas boiler. The data was supplemented with weather data from a nearby weather station. The data-driven model shows that the minimum supply temperature can be lower than 55 °C for 60% of the dwellings during design weather conditions (i.e., −10 °C in the Netherlands). Moreover, the minimum supply temperature is poorly correlated with general building properties, such as the building typology, construction period or specific annual space heating demand (kWh/(m2yr)). On the contrary, the ratio between the required and installed heat output of the radiators in the heating system is a promising parameter to predict the minimum design supply temperature of an individual dwelling that guarantees an acceptable indoor temperature during design weather conditions. © 2023 The Authors","2023","2024-02-20 10:05:27","2024-02-20 10:34:28","","","","","284","","","","","","","","","","","","","Scopus","","","","","<p>Compilation and indexing terms, Copyright 2024 Elsevier Inc.</p>; <p>Export Date: 20 February 2024; Cited By: 1</p>","","http://dx.doi.org/10.1016/j.energy.2023.129183","Architectural design; Carbon; design method; Structural design; building; carbon emission; Residential building; heating; Housing; Meteorology; Europe; Space heating; Indoor temperature; temperature profile; Heating system; Carbon emissions; Data-driven methods; demand-side management; Design condition; Design weather conditions; Measurement data; Measurements; Netherlands; Radiator; Radiators; Supply temperature; Supply temperatures","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R97738IK","journalArticle","2023","Baba, F.M.; Ge, H.; Zmeureanu, R.; Wang, L.L.","Optimizing overheating, lighting, and heating energy performances in Canadian school for climate change adaptation: Sensitivity analysis and multi-objective optimization methodology","Building and Environment","","","10.1016/j.buildenv.2023.110336","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153672084&doi=10.1016%2fj.buildenv.2023.110336&partnerID=40&md5=08ac653fe43caf59e578f93026714389","This paper aims to develop long-term adaptation strategies for the existing Canadian school buildings under extreme current and future climates using a developed methodology based on global and local sensitivity analysis and Multi-Objective Optimization Genetic Algorithm. The calibrated simulation model based on indoor and outdoor measured temperature for a school of interest is used to evaluate the optimization strategies. This paper aims to search for the optimum school building design under three simultaneous conflicting objective functions: (1) the minimization of overheating hours to less than 40 h as required by Building Bulletin BB101 building code by using passive mitigation measures, (2) the minimization of heating energy use to less than 15 kW/m2 according to passive house requirements and thus the reduction of greenhouse gas emissions, and (3) the minimization of artificial lighting energy use to less than the current lighting energy use by maximization of daylighting usage without exceeding acceptable glare index in classrooms. Ten building design variables are selected, which could generate approximately 300,000 solutions. The developed methodology reduced the numbers to 14,400 solutions and found seven Pareto solutions that comply with the three objectives and their constraints. High energy-efficient building envelope, appropriate window-wall ratio and window type, natural ventilation during the day, and night cooling can play a key role in achieving the objectives under current weather conditions. An additional cool roof and external overhang will be needed in the medium-term future climate, and an additional movable screen shading will be needed in the long-term future climate. © 2023 Elsevier Ltd","2023","2024-02-20 10:05:27","2024-02-20 10:40:02","","","","","237","","","","","","","","","","","","","Scopus","","","","","<p>Compilation and indexing terms, Copyright 2024 Elsevier Inc.</p>; <p>Export Date: 20 February 2024; Cited By: 6</p>","","http://dx.doi.org/10.1016/j.buildenv.2023.110336","Architectural design; architectural design; Optimisations; optimization; Structural design; Genetic algorithms; genetic algorithm; Energy efficiency; Gas emissions; Greenhouse gases; Sensitivity analysis; Multiobjective optimization; computer simulation; climate change; Ventilation; Multi-objectives optimization; sensitivity analysis; Lighting; Climate change; Canada; adaptive management; Overheating; Energy use; 'current; Future climate; Heating energy; Lighting and heating use optimization; Measured temperature; Measured temperatures; Minimisation; School building; School buildings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CD975SAE","journalArticle","2023","Hou, D.; Huang, J.; Wang, Y.","A comparison of approaches with different constraint handling techniques for energy-efficient building form optimization","Energy","","","10.1016/j.energy.2023.127540","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153970240&doi=10.1016%2fj.energy.2023.127540&partnerID=40&md5=bd0fb72235c42335aa4874958641a44d","Building performance optimization (BPO) has been a common method in energy-efficient building design. How to deal with the constraints in the optimization model is critical to optimal solution quality and efficiency, while is usually ignored when selecting optimization approaches. This study introduces three typical categories of constrained optimization approaches that integrate common and advanced constraint handling techniques (CHTs), including optimization with penalty function (SPF and DPF), biased bi-objective optimization (BBO) and reinforcement learning guided optimization (RL-SPF). To better match the high-efficiency requirement of practical problems, some improvements are made to the latter two approaches. An energy-efficient building form optimization problem is described and combined with different spatial and environmental constraints to construct five groups of experiments. The results illustrate that BBO achieves the best performance on average, particularly outstanding in convergence speed. The superiority of RL-SPF is obviously affected by the constraint handling capacity of RL model, and both penalty functions are not robust and efficient enough in solving practical BPO solutions. Additionally, further investigation on different CHTs reveals that preserving good infeasible solutions are more effective than simply improving the proportion of feasible solutions, which provides a promising direction for future work on developing new constraint optimization approaches. © 2023 Elsevier Ltd","2023","2024-02-20 10:05:27","2024-02-20 10:27:50","","","","","277","","","","","","","","","","","","","Scopus","","","","","<p>Compilation and indexing terms, Copyright 2024 Elsevier Inc.</p>; <p>Export Date: 20 February 2024; Cited By: 1</p>","","http://dx.doi.org/10.1016/j.energy.2023.127540","Architectural design; optimization; Structural design; Energy efficiency; Constrained optimization; Building performance; Building design; Building performance optimization; Reinforcement learning; Performance optimizations; Energy efficient building; energy efficiency; Bi-objective optimization; adoption constraint; Biased bi-objective optimization; Biased Bi-Objective optimization; Constraint handling; Constraint handling techniques; Constraint-handling techniques; convergence; Energy-efficient building design; learning; Penalty function; reinforcement; Reinforcement learnings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M27SGX3X","journalArticle","2023","Bre, F.; Lamberts, R.; Flores-Larsen, S.; Koenders, E.A.B.","Multi-objective optimization of latent energy storage in buildings by using phase change materials with different melting temperatures","Applied Energy","","","10.1016/j.apenergy.2023.120806","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147886504&doi=10.1016%2fj.apenergy.2023.120806&partnerID=40&md5=115be98c52ef2135885066079b97b49c","Technologies based on phase change materials (PCMs) are promising solutions to reduce energy consumption in buildings and related greenhouse gas emissions. However, the performance of passive PCMs in buildings is highly dependent on the melting temperatures employed, as well as the climate where the building is located. Therefore, the present contribution describes an optimization-based method to design passive latent energy storage in buildings by using PCMs with different melting temperatures. To achieve this goal, a multi-objective genetic algorithm is coupled with the building energy models developed in EnergyPlus to find the best trade-off between annual heating and cooling loads. A small office is chosen as a case study to evaluate the energy performance of the buildings incorporating the proposed PCM approach. Three different PCM layers are added to the ceilings and the external and internal walls of the building, and their parametric models are developed in EnergyPlus to optimize the melting temperature and thickness of each PCM layer simultaneously. Moreover, a method to select climate-representative locations according to the ASHRAE 169-2020 climate classification and within the WMO Region VI (Europe) is proposed and applied, resulting in eight well-representative locations. An optimization-based design is carried out for each selected location and the performances of the optimized building designs are systematically compared to the ones of the baseline models. The optimization results achieved show that regardless of the climate zone analyzed, using several PCMs with different melting temperatures instead of a single one, is preferred. Moreover, the best performance of PCMs is attained in climate zones where both the heating and cooling loads are present. Thus, the highest saving regarding the annual total loads of 11.7% is achieved in zone 5A (Cold), while the lowest one of 2.3% is obtained in zone 1B (Very hot). © 2023 Elsevier Ltd","2023","2024-02-20 10:05:27","2024-02-20 10:39:11","","","","","336","","","","","","","","","","","","","Scopus","","","","","<p>Compilation and indexing terms, Copyright 2024 Elsevier Inc.</p>; <p>Export Date: 20 February 2024; Cited By: 4</p>","","http://dx.doi.org/10.1016/j.apenergy.2023.120806","Architectural design; optimization; Structural design; Genetic algorithms; building; genetic algorithm; Economic and social effects; Energy efficiency; Gas emissions; Greenhouse gases; Multi-objective optimization; Multiobjective optimization; Energy utilization; Location; heating; Heat storage; Energy efficient building; Melting point; Phase change materials; temperature effect; Multi-objectives optimization; Storage (materials); In-buildings; Europe; Heating and cooling loads; energy storage; EnergyPlus; climate classification; Climate-representative location; Climate-representative locations; Energy-efficient building; greenhouse gas; Latent energy storage; Multiple melting; Multiple melting temperature; Multiple melting temperatures; Performance; Phase change material","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L3UEKZ4P","journalArticle","2023","Jang, S.; Lee, G.; Shin, S.; Roh, H.","Lexicon-based content analysis of BIM logs for diverse BIM log mining use cases","Advanced Engineering Informatics","","","10.1016/j.aei.2023.102079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163794316&doi=10.1016%2fj.aei.2023.102079&partnerID=40&md5=df6df2572fa4b0ec52e0c1b36af128f9","This study conducted a lexicon-based content analysis of building information modeling (BIM) logs from four major BIM authoring tools and four custom-developed BIM loggers to understand whether the BIM logs satisfy the information requirements for various BIM log mining use cases, as well as to assess their potential for future development and research. First, through a critical review of previous studies, 19 different ways of using BIM logs were identified, including authoring and collaborative pattern discovery, authoring process modeling, collaboration pattern analysis, command predictions, and team optimization; however, most of the uses concerned process discovery. The analysis also revealed that BIM log mining has mainly been used for the design phase, with a few examples of being used for the construction phase. For BIM log mining, various techniques ranging from simple frequency analyses via social network analyses to advanced pattern discovery were deployed. In terms of BIM log sources, native BIM logs from Revit were dominantly used almost in all studies, aside from a few studies that used custom-developed BIM logs. The content analysis of BIM logs showed that the contents of native BIM logs provided by major BIM authoring tools varied, but commonly lacked model-element-specific information; this limitation prevents in-depth analyses of BIM processes. Overall, the current disproportionate focus on process discovery in the design phase of BIM log mining suggests that the application of BIM log mining is still in its early stages and holds significant potential for other project phases if adding model-element-specific information is incorporated. © 2023 Elsevier Ltd","2023","2024-02-20 10:05:27","2024-02-20 10:38:07","","","","","57","","","","","","","","","","","","","Scopus","","","","","<p>Compilation and indexing terms, Copyright 2024 Elsevier Inc.</p>; <p>Export Date: 20 February 2024; Cited By: 0</p>","","http://dx.doi.org/10.1016/j.aei.2023.102079","Architectural design; Building information modeling; Structural design; Building Information Modelling; Information theory; building information modeling (BIM); BIM log; BIM log mining; Building information modeling log; Building information modeling log mining; Content analysis; Lexicon-based; Lexicon-based content analyse; Lexicon-based content analysis; Log mining; Supportability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PSX7BDQ2","journalArticle","2023","Barone, G.; Buonomano, A.; Forzano, C.; Giuzio, G.F.; Palombo, A.; Russo, G.","A new thermal comfort model based on physiological parameters for the smart design and control of energy-efficient HVAC systems","Renewable and Sustainable Energy Reviews","","","10.1016/j.rser.2022.113015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143328983&doi=10.1016%2fj.rser.2022.113015&partnerID=40&md5=126de43e2029314bc88110fc81278966","Indoor thermal comfort represents a key aspect of building design. The reference standards do not consider the thermal adaptability of the human body, and HVAC system control strategies are based on a steady-state assumption that returns an incorrect estimate of occupants' thermal demand with a consequential misleading of the building energy consumption and of system sizing. To overcome these issues, a physiological thermal comfort model for the human body thermal behaviour evaluation is developed in MatLab environment for assessing the dynamic variation of the physiological parameters and for characterizing the occupants’ thermal sensation. Finally, the developed human body multi-node model is implemented in a building energy simulation tool (called DETECt 2.4) to perform three proposed strategies for the dynamic control of the building thermo-hygrometric parameters of the building and of the corresponding heating and cooling demands. These strategies provide an hourly regulation of relative humidity and air temperature by means of a two-step optimization that maximizes the thermal comfort of the occupants and minimizes energy consumption. To show the potentiality of the developed model, a suitable case study consisting of an office space is considered. Here, space heating and cooling demands obtained by applying the novel developed model are compared to those obtained through standard set-point values of air temperature and relative humidity (20 °C, 45% for heating needs, and 26 °C, 50% for cooling ones). By the comparison, between the proposed model – which considers the optimal hourly set point assessing the occupant in thermal evolution – and the reference ones, interesting results are obtained. Generally, a higher consumption is achieved by considering the proposed comfort strategies (from 2 to 16%), representing the price to be paid to maximize the comfort of the occupants and to annul the 3650 h of discomfort of the reference case. © 2022 Elsevier Ltd","2023","2024-02-20 10:05:27","2024-02-20 10:28:23","","","","","173","","","","","","","","","","","","","Scopus","","","","","<p>Compilation and indexing terms, Copyright 2024 Elsevier Inc.</p>; <p>Export Date: 20 February 2024; Cited By: 13</p>","","http://dx.doi.org/10.1016/j.rser.2022.113015","Architectural design; Structural design; Energy efficiency; Office buildings; Energy utilization; Performance simulation; HVAC; Building energy performance; Thermal comfort; System Dynamics; Thermal comfort models; Behavioral research; Atmospheric temperature; MATLAB; Cooling; HVAC system; Space heating; Building energy performance simulation tool; Building energy performance simulation tools; Dynamic controls; Energy-saving control; Human bodies; Human body thermal adaptability; Human-body thermal sensation; HVAC system dynamic control; Optimal comfort and energy saving control of thermo-hygrometric property; Physiological models; Physiological thermal comfort model; Physiological thermal comfort models; Physiology; Property; Thermal adaptabilities; Thermal sensations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E5B68IW7","journalArticle","2023","Forth, K.; Abualdenien, J.; Borrmann, A.","Calculation of embodied GHG emissions in early building design stages using BIM and NLP-based semantic model healing","Energy and Buildings","","","10.1016/j.enbuild.2023.112837","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147901157&doi=10.1016%2fj.enbuild.2023.112837&partnerID=40&md5=a29753e7eac31b65c9acae9abbaa60f8","To reach the goals of limiting global warming, the embodied greenhouse gas (GHG) emissions of new buildings need to be quantified and optimized in the very early design stages, during which design decisions significantly influence the success of projects in achieving their performance goals. Semantically rich building information models (BIM) enable to perform an automated quantity take-off of the relevant elements for calculating a whole building life cycle assessment (LCA). However, imprecise type and property information often found in today's BIM practice hinders a seamless processing for downstream applications. At the same time, the early design stages are characterized by high uncertainty due to the lack of information and knowledge, making a holistic and consistent LCA for supporting design decisions and optimizing performance challenging. In assessing this often vague information, it is essential to consider different levels of element and material information for matching BIM to LCA data. For example, the structural properties of concrete are not yet defined in early design stages and should instead be considered as a range of material options due to different compressive strength classes. This paper presents a novel methodology for automatically matching the coarse information available in BIM models of the early design stages to the respective entries in LCA databases as a basis for a fully automated calculation process of the embodied GHG emissions of new buildings. This approach solves the existing gap in the automation process of manually enriching BIM models and adding information of LCA data and missing layers of vague models. In more detail, the proposed method is based on Natural Language Processing (NLP), using different strategies to increase performance in matching elements and materials from a BIM model to a knowledge database to enrich environmental indicators of commonly used elements’ materials. The knowledge database contains all missing information for LCAs and has different levels of information for a range of several potential design options of elements and materials, including their dependencies. Accordingly, this paper investigates multiple NLP techniques and evaluates the performance of state-of-the-art deep learning models such as GermaNet, SpaCy, or BERT. Following this, the most performant NLP approach is used to provide an automatic workflow for matching Industry Foundation Classes (IFC) elements to the knowledge database, facilitating a seamless LCA in the early stages of design. For five different case studies, the performances of the proposed matching method are analyzed. Finally, one case study is selected to compare the embodied emissions results to those of the conventional process. © 2023 Elsevier B.V.","2023","2024-02-20 10:05:28","2024-02-20 10:32:07","","","","","284","","","","","","","","","","","","","Scopus","","","","","<p>Compilation and indexing terms, Copyright 2024 Elsevier Inc.</p>; <p>Export Date: 20 February 2024; Cited By: 8</p>","","http://dx.doi.org/10.1016/j.enbuild.2023.112837","Architectural design; Automation; Structural design; Life cycle; Gas emissions; Greenhouse gases; Building Information Modelling; BIM; Life cycle assessment; Deep learning; Intelligent buildings; Global warming; Early design stages; Learning algorithms; Semantics; Compressive strength; Natural language processing systems; LCA; Performance; Database systems; Early design stage; Greenhouse gas emissions; Language processing; Matchings; Model healing; Natural language processing; Natural languages; NLP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3L2KGDGD","journalArticle","2023","Hagg, A.; Kliemank, M.L.; Asteroth, A.; Wilde, D.; Bedrunka, M.C.; Foysi, H.; Reith, D.","Efficient Quality Diversity Optimization of 3D Buildings through 2D Pre-Optimization","Evolutionary Computation","","","10.1162/evco_a_00326","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169504384&doi=10.1162%2fevco_a_00326&partnerID=40&md5=d3606f6aa4da9592d15ba58ce5786642","Quality diversity algorithms can be used to efficiently create a diverse set of solutions to inform engineers’ intuition. But quality diversity is not efficient in very expensive problems, needing hundreds of thousands of evaluations. Even with the assistance of surrogate models, quality diversity needs hundreds or even thousands of evaluations, which can make its use infeasible. In this study, we try to tackle this problem by using a pre-optimization strategy on a lower-dimensional optimization problem and thenmap the solutions to a higher-dimensional case. For a use case to design buildings that minimize wind nuisance, we show that we can predict flow features around 3D buildings from 2D flow features around building footprints. For a diverse set of building designs, by sampling the space of 2D footprints with a quality diversity algorithm, a predictive model can be trained that ismore accurate than when trained on a set of footprints that were selected with a space-filling algorithm like the Sobol sequence. Simulating only 16 buildings in 3D, a set of 1,024 building designs with low predicted wind nuisance is created. We show that we can produce better machine learning models by producing training data with quality diversity instead of using common sampling techniques. The method can bootstrap generative design in a computationally expensive 3D domain and allow engineers to sweep the design space, understanding wind nuisance in early design phases. © 2023 Massachusetts Institute of Technology.","2023","2024-02-20 10:05:28","2024-02-20 10:35:31","","287-307","","3","31","","","","","","","","","","","","","Scopus","","","","","<p>Compilation and indexing terms, Copyright 2024 Elsevier Inc.</p>; <p>Export Date: 20 February 2024; Cited By: 0</p>","; C:\Users\bunjii\Zotero\storage\6K5KMTVQ\Hagg et al. - 2023 - Efficient Quality Diversity Optimization of 3D Bui.pdf","http://dx.doi.org/10.1162/evco_a_00326","Architectural design; Optimisations; Structural design; algorithm; Algorithms; Learning systems; Quality control; Bayesian optimization; design process; Design-process; efficiency; lattice Boltzmann method; Lattice Boltzmann method; Multi-solutions; Multisolution optimization; pre-optimization; Pre-optimization; quality diversity; Quality diversity; wind nuisance; Wind nuisance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
